"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "JavaScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\config\design.cjs", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 48, 16, 134
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\config\theme.ts", "TypeScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 7, 15, 163
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\context\DataContext.tsx", "TypeScript JSX", 0, 0, 0, 179, 0, 0, 0, 0, 0, 1, 16, 196
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 48, 0, 2, 6, 56
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\pages\ErrorPage.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 395, 0, 0, 0, 0, 0, 6, 20, 421
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\pages\Search.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\pages\SearchServer.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\pages\UploadPage.tsx", "TypeScript JSX", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 32, 386
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\dataStore.ts", "TypeScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 20, 202
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\jobRunner.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\orchestrator.sharedworker.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
